pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
218.075,-80.9625,180.0,bottom,C1,,,WCAP-ATG5_5X11_DXL_,C_US,tht
118.0625,-159.54375,180.0,bottom,C10,,,WCAP-ATG5_5X11_DXL_,C_US,tht
139.49375,-169.06875,180.0,bottom,C11,,,WCAP-ATG5_5X11_DXL_,C_US,tht
158.54375,-169.06875,180.0,bottom,C12,,,WCAP-ATG5_5X11_DXL_,C_US,tht
70.4375,-45.24375,180.0,bottom,C13,,,WCAP-ATG5_5X11_DXL_,C_US,tht
77.58125,-80.9625,180.0,bottom,C14,,,WCAP-ATG5_5X11_DXL_,C_US,tht
77.58125,-107.15625,180.0,bottom,C15,,,WCAP-ATG5_5X11_DXL_,C_US,tht
79.9625,-130.96875,180.0,bottom,C16,,,WCAP-ATG5_5X11_DXL_,C_US,tht
146.6375,-52.3875,180.0,bottom,C17,,,WCAP-ATG5_5X11_DXL_,C_US,tht
122.825,-52.3875,180.0,bottom,C18,,,WCAP-ATG5_5X11_DXL_,C_US,tht
101.39375,-45.24375,180.0,bottom,C19,,,WCAP-ATG5_5X11_DXL_,C_US,tht
225.21875,-47.625,180.0,bottom,C2,,,WCAP-ATG5_5X11_DXL_,C_US,tht
84.725,-33.3375,180.0,bottom,C20,,,WCAP-ATG5_5X11_DXL_,C_US,tht
211.93125,-30.95625,180.0,bottom,C3,,,WCAP-ATG5_5X11_DXL_,C_US,tht
191.88125,-42.8625,180.0,bottom,C4,,,WCAP-ATG5_5X11_DXL_,C_US,tht
177.59375,-159.54375,180.0,bottom,C5,,,WCAP-ATG5_5X11_DXL_,C_US,tht
201.40625,-147.6375,180.0,bottom,C6,,,WCAP-ATG5_5X11_DXL_,C_US,tht
218.075,-130.96875,180.0,bottom,C7,,,WCAP-ATG5_5X11_DXL_,C_US,tht
220.45625,-104.775,180.0,bottom,C8,,,WCAP-ATG5_5X11_DXL_,C_US,tht
96.63125,-147.6375,180.0,bottom,C9,,,WCAP-ATG5_5X11_DXL_,C_US,tht
200.025,-53.81625,90.0,bottom,D1,,,Diode_DO-35,~,tht
85.65625,-141.225,0.0,top,D10,,,LED_WS2812B,LED_WS2812B,smt
109.46875,-153.13125,0.0,top,D11,,,LED_WS2812B,LED_WS2812B,smt
128.5875,-164.30625,0.0,top,D12,,,LED_WS2812B,LED_WS2812B,smt
147.6375,-173.83125,0.0,top,D13,,,LED_WS2812B,LED_WS2812B,smt
169.06875,-164.30625,0.0,top,D14,,,LED_WS2812B,LED_WS2812B,smt
78.58125,-53.81625,90.0,bottom,D15,,,Diode_DO-35,~,tht
188.11875,-152.4,0.0,top,D16,,,LED_WS2812B,LED_WS2812B,smt
211.93125,-140.49375,0.0,top,D17,,,LED_WS2812B,LED_WS2812B,smt
221.45625,-116.68125,0.0,top,D18,,,LED_WS2812B,LED_WS2812B,smt
216.69375,-92.86875,0.0,top,D19,,,LED_WS2812B,LED_WS2812B,smt
157.09375,-50.7375,0.0,top,D2,,,LED_WS2812B,LED_WS2812B,smt
219.00625,-64.29375,0.0,top,D20,,,LED_WS2812B,LED_WS2812B,smt
223.8375,-28.575,0.0,top,D21,,,LED_WS2812B,LED_WS2812B,smt
202.40625,-35.71875,0.0,top,D22,,,LED_WS2812B,LED_WS2812B,smt
180.975,-50.00625,0.0,top,D23,,,LED_WS2812B,LED_WS2812B,smt
135.8,-50.7375,0.0,top,D3,,,LED_WS2812B,LED_WS2812B,smt
111.85,-50.7375,0.0,top,D4,,,LED_WS2812B,LED_WS2812B,smt
92.8,-36.45,0.0,top,D5,,,LED_WS2812B,LED_WS2812B,smt
73.81875,-28.575,0.0,top,D6,,,LED_WS2812B,LED_WS2812B,smt
73.81875,-64.29375,0.0,top,D7,,,LED_WS2812B,LED_WS2812B,smt
78.5125,-93.6,0.0,top,D8,,,LED_WS2812B,LED_WS2812B,smt
73.75,-119.79375,0.0,top,D9,,,LED_WS2812B,LED_WS2812B,smt
161.925,-69.05625,180.0,bottom,R1,,,Resistor_0402,330,smt
211.7725,-44.92625,0.0,top,S1,,,SW_Cherry_MX_1.00u_PCB,~,tht
90.64625,-44.92625,0.0,top,S2,,,SW_Cherry_MX_1.00u_PCB,~,tht
150.8875,-38.23125,180.0,bottom,SW1,,,SW_PUSH_6mm,Switch,tht
147.6375,-95.25,180.0,bottom,U1,,,Raspberry_Pi_Pico,Raspberry_Pi_Pico,tht
130.1375,-149.06625,90.0,top,U2,,,ER_OLEDM0.91_1x-I2C,ER_OLEDM0.91_1x-I2C,tht
127.0375,-93.82125,-90.0,top,U3,,,ER_OLEDM0.91_1x-I2C,ER_OLEDM0.91_1x-I2C,tht
166.6875,-101.44125,90.0,top,U4,,,ER_OLEDM0.91_1x-I2C,ER_OLEDM0.91_1x-I2C,tht
