Designator,Mid X,Mid Y,Rotation,Layer
C1,218.075,-80.9625,0.0,bottom
C10,118.0625,-159.54375,0.0,bottom
C11,139.49375,-169.06875,0.0,bottom
C12,158.54375,-169.06875,0.0,bottom
C13,70.4375,-45.24375,0.0,bottom
C14,77.58125,-80.9625,0.0,bottom
C15,77.58125,-107.15625,0.0,bottom
C16,79.9625,-130.96875,0.0,bottom
C17,146.6375,-52.3875,0.0,bottom
C18,122.825,-52.3875,0.0,bottom
C19,101.39375,-45.24375,0.0,bottom
C2,225.21875,-47.625,0.0,bottom
C20,84.725,-33.3375,0.0,bottom
C3,211.93125,-30.95625,0.0,bottom
C4,191.88125,-42.8625,0.0,bottom
C5,177.59375,-159.54375,0.0,bottom
C6,201.40625,-147.6375,0.0,bottom
C7,218.075,-130.96875,0.0,bottom
C8,220.45625,-104.775,0.0,bottom
C9,96.63125,-147.6375,0.0,bottom
D1,200.025,-50.00625,90.0,bottom
D10,85.65625,-141.225,0.0,top
D11,109.46875,-153.13125,0.0,top
D12,128.5875,-164.30625,0.0,top
D13,147.6375,-173.83125,0.0,top
D14,169.06875,-164.30625,0.0,top
D15,78.58125,-50.00625,90.0,bottom
D16,188.11875,-152.4,0.0,top
D17,211.93125,-140.49375,0.0,top
D18,221.45625,-116.68125,0.0,top
D19,216.69375,-92.86875,0.0,top
D2,157.09375,-50.7375,0.0,top
D20,219.00625,-64.29375,0.0,top
D21,223.8375,-28.575,0.0,top
D22,202.40625,-35.71875,0.0,top
D23,180.975,-50.00625,0.0,top
D3,135.8,-50.7375,0.0,top
D4,111.85,-50.7375,0.0,top
D5,92.8,-36.45,0.0,top
D6,73.81875,-28.575,0.0,top
D7,73.81875,-64.29375,0.0,top
D8,78.5125,-93.6,0.0,top
D9,73.75,-119.79375,0.0,top
R1,161.925,-69.05625,0.0,bottom
S1,209.2325,-47.91625,0.0,top
S2,88.10625,-47.91625,0.0,top
SW1,147.6375,-40.48125,0.0,bottom
U1,147.6375,-96.035,0.0,bottom
U2,130.1375,-145.25625,90.0,top
U3,127.0375,-97.63125,270.0,top
U4,166.6875,-97.63125,90.0,top
